id,category,sub_category,title,content
1,시스템설계,LangGraph,뱅킹 에이전트 메인 루프 구조,"메인 에이전트는 '입력-검증-실행-결과정리'의 4단계 노드로 구성되며, 각 노드는 StateGraph를 통해 이전 노드의 상태를 전달받는다."
2,시스템설계,LangGraph,검증 노드의 조건부 에지(Edge) 규정,"검증 노드(Validation Node)는 사용자의 잔액과 일일 이체 한도를 체크하며, 한도 초과 시 'Compliance_Review' 노드로 강제 분기한다."
3,금융규제,이체한도,일반 계좌 일일 이체 한도 정책,"Neo-Finance의 일반 등급 사용자는 1일 최대 500만 원까지 이체 가능하며, 1회 이체 한도는 200만 원으로 제한된다."
4,금융규제,이체한도,VIP 등급 우대 한도 적용,"VIP 등급은 일일 이체 한도가 5,000만 원으로 상향되나, 1,000만 원 이상의 고액 이체 시 'Security_Check' 노드를 반드시 거쳐야 한다."
5,시스템설계,보안,Security_Check 노드의 다중 인증(MFA) 절차,"고액 이체 시 실행되는 보안 노드는 사용자의 생체 인증과 SMS 인증이 모두 성공해야만 'Execution' 노드로 상태를 전송한다."
6,DB기술,MySQL,트랜잭션 격리 수준 설정(Isolation),"뱅킹 원장 DB는 데이터 무결성을 위해 REPEATABLE READ 격리 수준을 기본으로 하며, 동시성 제어를 위해 비관적 락(Pessimistic Lock)을 사용한다."
7,DB기술,JDBC,ConnectionPool 고갈 시 에러 핸들링,"JDBC 드라이버에서 'Connection is not available' 에러 발생 시, 에이전트는 즉시 Exponential Backoff 전략으로 3회 재시도 후 사용자에게 점검 공지를 출력한다."
8,시스템설계,LangGraph,RecursionLimit 발생 시 복구 로직,"에이전트 루프가 10회 이상 반복되어 RecursionLimit에 도달하면, 현재까지의 State를 'Snapshot_DB'에 저장하고 세션을 강제 종료한다."
9,금융규제,이상거래,FDS(이상거래탐지) 차단 조건,"최근 1시간 내에 5회 이상의 소액 결제가 반복되거나 평소 접속하지 않던 해외 IP에서 접근 시, 해당 계좌는 즉시 '잠금(Locked)' 상태로 변경된다."
10,시스템설계,에러처리,FDS 차단 시 에이전트 응답 프로토콜,"FDS에 의해 계좌가 잠긴 경우, 에이전트는 이체 실행 노드를 건너뛰고 '고객센터 연결' 노드로 다이렉트 에지를 생성한다."
11,금융규제,KYC,비대면 실명 확인 유효 기간,"비대면으로 가입한 사용자의 실명 인증 유효 기간은 1년이며, 기간 만료 30일 전부터 에이전트는 로그인 시 갱신 노드를 활성화한다."
12,DB기술,MySQL,인덱스 최적화 및 슬로우 쿼리 방지,"거래 내역 조회 시 'Account_ID'와 'Transaction_Date'의 복합 인덱스를 사용하여 0.1초 이내에 결과를 반환하도록 쿼리를 작성해야 한다."
13,시스템설계,LangGraph,Tool_Choice 오류 시 폴백(Fallback) 전략,"LLM이 잘못된 툴을 선택하거나 인자 형식이 틀린 경우, 'Error_Correction_Node'가 가동되어 이전 프롬프트를 재구성하여 재질의한다."
14,금융규제,송금,착오 송금 반환 지원 규정,"사용자가 실수로 잘못 송금한 경우, 에이전트는 '착오송금 반환 신청' 툴을 호출하여 수취인에게 반환 요청 알림을 발송할 수 있다."
15,시스템설계,API연동,Groq API 타임아웃 설정,"실시간 환율 조회 툴은 Groq API를 사용하며, 응답 시간이 2초를 초과할 경우 로컬 캐시 데이터(최대 5분 전)를 활용한다."
16,DB기술,H2,테스트 환경 데이터 초기화 로직,"H2 인메모리 DB 사용 시, 모든 테스트 케이스 종료 후 'TRUNCATE ALL TABLES' 명령을 수행하여 독립적인 테스트 환경을 유지한다."
17,금융규제,수수료,타행 이체 수수료 면제 조건,"급여 계좌로 등록된 사용자가 타행 이체를 실행할 경우, 'Fee_Calculator' 노드는 수수료를 0원으로 계산하여 최종 금액에 반영한다."
18,시스템설계,프롬프트,페르소나 설정 지침,"Neo-Finance 에이전트는 신뢰감을 주는 전문적인 어조를 유지하며, 금융 용어 사용 시 반드시 쉬운 한글 풀이를 병기해야 한다."
19,DB기술,MySQL,데드락(Deadlock) 발생 시 로그 기록 규정,"MySQL에서 데드락이 감지되면 'Locker_Manager'는 해당 트랜잭션을 롤백하고, 발생 원인이 된 쿼리문을 에러 로그에 남긴다."
20,금융규제,개인정보,데이터 파기 및 마스킹 처리,"채팅 로그에 포함된 카드번호 16자리 중 중간 8자리는 반드시 '*'로 마스킹하여 저장해야 하며, 5년 경과 시 자동 파기한다."
21,시스템설계,LangGraph,상태 저장(Checkpointer) 방식,"Postgres를 체크포인터로 사용하여 사용자가 대화를 중단하더라도 24시간 내에 복귀하면 이전 뱅킹 프로세스를 이어갈 수 있다."
22,시스템설계,보안,루팅된 단말기 접속 차단,"안드로이드/iOS 앱 실행 시 루팅 또는 탈옥 여부를 검사하며, 감지 시 에이전트는 모든 금융 노드의 접근을 차단한다."
23,금융규제,이자율,정기 예금 중도 해지 이율 정책,"정기 예금을 만기 전 해지할 경우, 약정 이율의 50%만 지급하며 해당 계산은 'Interest_Engine' 노드에서 처리한다."
24,시스템설계,인프라,Docker 컨테이너 헬스체크 규정,"에이전트 서버 컨테이너는 30초마다 /health 경로로 상태를 보고하며, 3회 실패 시 오케스트레이터는 컨테이너를 재시작한다."
25,DB기술,JDBC,자동 커밋(Auto-Commit) 비활성화 원칙,"모든 뱅킹 이체 로직은 원자성(Atomicity) 보장을 위해 setAutoCommit(false)를 설정하고 명시적 commit/rollback을 수행한다."
26,금융규제,해외송금,해외 송금 연간 누적 한도,"대한민국 외국환거래법에 따라 증빙 서류 없이 해외로 보낼 수 있는 금액은 연간 미화 5만 달러로 제한된다."
27,시스템설계,LangGraph,조건부 에지: 증빙 서류 필요 여부,"해외 송금액이 연간 5만 달러를 초과할 경우, 에이전트는 'Document_Upload' 노드로 사용자를 유도한다."
28,시스템설계,보안,세션 타임아웃 및 자동 로그아웃,"사용자의 입력이 10분간 없을 경우 세션 노드는 상태를 초기화하고 사용자를 로그아웃 처리한다."
29,DB기술,MySQL,대량 트래픽 대비 Read/Write 복제,"조회 쿼리는 Slave DB에서 처리하고, 이체 및 정보 변경 쿼리는 Master DB에서 처리하는 DB 분리 아키텍처를 적용한다."
30,금융규제,대출,DSR(총부채원리금상환비율) 계산 기준,"신규 대출 에이전트는 사용자의 모든 대출 원리금 합계가 연소득의 40%를 넘지 않는지 'Credit_Score' 노드를 통해 검증한다."
31,시스템설계,에러처리,Tool call 결과 유효성 검사,"외부 API로부터 받은 JSON 결과값이 기대하는 스키마와 다를 경우, 'Data_Parser_Node'는 에러를 발생시키고 관리자에게 알림을 보낸다."
32,금융규제,마케팅,광고성 정보 수신 동의 여부 체크,"사용자가 이벤트 알림을 요청할 때, 에이전트는 DB의 'Marketing_Agreement' 필드가 'Y'인지 먼저 확인한다."
33,시스템설계,LangGraph,루프 방지용 고유 ID 발급,"모든 에이전트 메시지는 'Message_ID'를 부여받으며, 동일한 ID의 재입력은 멱등성(Idempotency) 보장을 위해 무시된다."
34,DB기술,JDBC,Connection Leak 탐지를 위한 모니터링,"LeakDetectionThreshold를 2000ms로 설정하여 특정 메서드에서 커넥션 반납이 늦어질 경우 경고 로그를 발생시킨다."
35,금융규제,송금,야간 점검 시간 이체 제한,"매일 23:50부터 00:10까지는 은행 시스템 점검 시간으로, 이 기간 중 발생한 이체 요청은 예약 상태로 저장된다."
36,시스템설계,프롬프트,금융 용어 순화 가이드,"'가계약금' 대신 '임시 계약금'으로, '거치 기간' 대신 '이자만 내는 기간'으로 순화하여 사용자에게 설명한다."
37,시스템설계,LangGraph,동적 노드 생성 제한 규정,"보안상의 이유로 런타임 중에 새로운 노드를 생성하여 그래프에 추가하는 행위는 금지되며, 사전에 정의된 노드만 사용 가능하다."
38,DB기술,MySQL,Undo Log 크기 관리 정책,"긴 트랜잭션으로 인해 Undo Log가 비대해지는 것을 방지하기 위해, 5분 이상의 트랜잭션은 강제로 킬(Kill) 처리한다."
39,금융규제,펀드,적합성 원칙에 따른 투자 제한,"사용자의 투자 성향이 '안정형'인 경우, 에이전트는 고위험 등급의 파생 상품 추천 노드를 원천적으로 노출하지 않는다."
40,시스템설계,인프라,API Gateway의 속도 제한(Throttling),"특정 IP에서 초당 10회 이상의 API 요청이 발생할 경우, 게이트웨이는 429 Too Many Requests 에러를 반환한다."
41,시스템설계,LangGraph,멀티 에이전트 간 협업(Orchestration),"자산 관리 에이전트와 대출 에이전트는 'Master_Planner'를 통해 데이터를 주고받으며 공동의 목표를 달성한다."
42,금융규제,보이스피싱,지연 인출 제도 적용,"100만 원 이상 입금된 계좌에서 현금 인출 시, 입금 시점으로부터 30분간 인출 및 이체가 지연된다."
43,DB기술,MySQL,JSON 데이터 타입 활용 규정,"사용자의 비정형 행동 로그는 MySQL의 JSON 컬럼에 저장하며, 검색 성능을 위해 가상 컬럼(Virtual Column) 인덱스를 생성한다."
44,시스템설계,보안,API 키 보안 관리(Vault),"Groq 및 외부 금융망 API 키는 환경 변수에 직접 노출하지 않고 HashiCorp Vault와 같은 비밀 관리 서비스를 통해 주입한다."
45,금융규제,채무,연체 정보 자동 통보 시스템,"대출 이자 납입이 1일이라도 늦어질 경우, 에이전트는 다음 날 오전 9시에 즉시 푸시 알림과 알림톡을 발송한다."
46,시스템설계,LangGraph,사용자 피드백 수집 노드,"모든 업무 종료 후 'Feedback_Node'로 이동하여 사용자의 만족도를 1~5점으로 평가받고 시스템 개선 데이터로 활용한다."
47,DB기술,JDBC,PrepareStatement 사용 원칙,"SQL Injection 방지를 위해 모든 쿼리는 PrepareStatement를 사용하여 파라미터를 바인딩해야 한다."
48,금융규제,환전,환전 우대율 적용 기준,"주거래 고객(급여 이체+카드 사용)에게는 주요 통화(USD, JPY, EUR) 환전 시 최대 90%의 우대율을 적용한다."
49,시스템설계,LangGraph,인터럽트(Interrupt) 기능 활용,"송금 직전 'Wait_For_Approval' 상태에서 멈추어 사용자의 최종 '확인' 입력을 기다리는 휴먼-인-더-루프(Human-in-the-loop)를 구현한다."
50,시스템설계,에러처리,LLM 환각(Hallucination) 방지 필터,"에이전트가 생성한 답변에 '확정 금리 100%'와 같은 과장 표현이 포함될 경우, 'Output_Filter' 노드에서 검열하여 수정을 요청한다."
