id,category,sub_category,title,content
1,Docker,빌드전략,멀티 스테이지 빌드 최적화,"Docker 이미지 크기를 줄이기 위해 빌드 스테이지와 런타임 스테이지를 분리하며, 최종 이미지에는 실행 바이너리와 최소한의 라이브러리(alpine 등)만 포함한다."
2,Docker,보안,컨테이너 루트 권한 실행 제한,"보안 사고 방지를 위해 Dockerfile 내부에 USER 지시어를 사용하여 비루트(non-root) 사용자로 프로세스를 실행하는 것을 원칙으로 한다."
3,K8s,리소스관리,Pod 메모리 Limit와 OOMKill 관계,"Pod의 memory limit을 너무 낮게 설정하면 프로세스가 가용 메모리를 초과할 때 커널에 의해 SIGKILL(OOMKill) 신호를 받고 컨테이너가 재시작된다."
4,K8s,스케줄링,NodeSelector를 이용한 워크로드 배치,"특정 하드웨어(GPU 등)가 필요한 Pod는 nodeSelector 필드에 해당 노드의 레이블을 지정하여 조건에 맞는 노드에만 배정되도록 제한한다."
5,K8s,스케줄링,Taints와 Tolerations의 상호작용,"노드에 설정된 Taint는 일반 Pod의 배치를 거부하며, 해당 Taint에 대응하는 Toleration을 가진 Pod만이 해당 노드에 스케줄링될 수 있다."
6,K8s,생명주기,Liveness Probe의 역할과 설정,"컨테이너의 상태를 주기적으로 체크하여 응답이 없거나 에러를 반환할 경우, Kubelet이 해당 컨테이너를 자동으로 재시작하여 자가 치유를 수행한다."
7,K8s,생명주기,Readiness Probe와 서비스 가용성,"컨테이너가 트래픽을 받을 준비가 되었는지 확인하며, 이 체크가 통과되기 전까지는 해당 Pod를 엔드포인트(Service)에서 제외하여 장애 전파를 막는다."
8,K8s,네트워크,Service(ClusterIP)의 내부 통신 원리,"ClusterIP는 클러스터 내부에서만 접근 가능한 가상 IP를 할당하며, 내부 DNS(CoreDNS)를 통해 '서비스명.네임스페이스' 형태로 도메인 조회가 가능하다."
9,K8s,네트워크,NodePort 서비스의 포트 범위 제한,"외부에서 노드의 IP와 특정 포트로 접근할 수 있게 하는 NodePort는 기본적으로 30000-32767 범위 내에서 할당되어야 한다."
10,K8s,네트워크,Ingress Controller와 경로 기반 라우팅,"Ingress는 HTTP/HTTPS 트래픽을 호스트 이름이나 URL 경로에 따라 내부 서비스로 분산 처리하며, Nginx나 ALB 등의 컨트롤러가 실제 동작을 수행한다."
11,K8s,스토리지,PersistentVolume(PV)과 PVC의 바인딩 조건,"PersistentVolumeClaim(PVC)은 요청한 용량, AccessMode, StorageClassName이 일치하는 PersistentVolume(PV)과 1:1로 매핑된다."
12,K8s,스토리지,StorageClass를 통한 동적 프로비저닝,"클라우드 환경에서 StorageClass를 정의하면 PVC 요청 시 해당 설정에 맞는 EBS나 AzureDisk 등의 스토리지가 자동으로 생성되고 할당된다."
13,K8s,보안,RBAC(Role-Based Access Control) 구조,"Role은 특정 네임스페이스 내의 권한을 정의하며, RoleBinding을 통해 특정 사용자(User)나 서비스 계정(ServiceAccount)에 해당 권한을 부여한다."
14,K8s,보안,Network Policy를 이용한 트래픽 제어,"Pod 간의 네트워크 통신을 허용하거나 차단하기 위해 레이블 셀렉터를 사용하여 Ingress(유입)와 Egress(유출) 규칙을 화이트리스트 방식으로 관리한다."
15,Docker,네트워크,컨테이너 포트 포워딩(Expose vs Publish),"EXPOSE는 이미지 메타데이터에 포트 정보를 기록할 뿐이며, 실제 외부 호스트와 연결하려면 'docker run -p' 옵션으로 포트를 바인딩해야 한다."
16,K8s,오토스케일링,HPA(Horizontal Pod Autoscaler) 작동 방식,"CPU 또는 메모리 사용률이 설정된 임계치를 넘어서면 HPA 컨트롤러가 복제본(Replicas) 수를 자동으로 늘려 부하를 분산한다."
17,K8s,오토스케일링,VPA(Vertical Pod Autoscaler)의 특징,"Pod의 개수를 늘리는 대신 개별 Pod의 리소스 예약값(Requests)과 제한값(Limits)을 실시간 사용량에 맞춰 동적으로 조정한다."
18,K8s,리소스관리,Resource Quota를 통한 네임스페이스 제약,"특정 네임스페이스가 사용할 수 있는 총 CPU, 메모리, Pod 개수 등을 제한하여 특정 팀이 클러스터 전체 자원을 독점하는 것을 방지한다."
19,Docker,저장소,이미지 레이어 캐싱 최적화,"Dockerfile 작성 시 변동이 적은 명령어(라이브러리 설치 등)를 상단에 배치하여 빌드 시 레이어 캐시 활용도를 높이고 시간을 단축한다."
20,K8s,트러블슈팅,Pending 상태의 주요 원인 분석,"Pod가 Pending 상태인 경우 노드의 자원 부족, 일치하는 노드 셀렉터 부재, 혹은 마운트할 PV의 가용성 문제를 우선 확인해야 한다."
21,K8s,트러블슈팅,CrashLoopBackOff 발생 시 진단 절차,"컨테이너가 시작 직후 계속 종료되는 현상으로, 'kubectl logs'와 'kubectl describe'를 통해 애플리케이션 에러 로그나 환경 변수 설정 오류를 점검한다."
22,K8s,업데이트,RollingUpdate 전략과 MaxSurge,"RollingUpdate 시 기존 Pod를 하나씩 교체하며, MaxSurge 설정을 통해 업데이트 도중 허용할 최대 초과 Pod 수를 조절하여 가용성을 유지한다."
23,K8s,업데이트,Recreate 전략의 특징과 단점,"기존의 모든 Pod를 동시에 삭제한 후 새 버전을 생성하는 방식으로, 업데이트 도중 서비스 다운타임이 발생하므로 비실시간 업무에 주로 사용한다."
24,K8s,네트워크,CoreDNS 설정 오류와 이름 해석 실패,"Pod 내부에서 서비스 도메인으로 통신이 안 될 경우, kube-system 네임스페이스의 CoreDNS Pod 상태와 ConfigMap 설정을 확인해야 한다."
25,Docker,리소스,컨테이너 CPU Shares와 가중치,"CPU Shares는 CPU가 경합 상황일 때 각 컨테이너가 사용할 수 있는 상대적 가중치를 의미하며, CPU 제한(cpus)과는 다른 개념이다."
26,K8s,고가용성,Pod Topology Spread Constraints,"Pod를 여러 노드, 존(Zone), 리전(Region)에 균등하게 분산 배치하여 특정 물리 장비나 데이터 센터 장애 시 서비스 중단을 최소화한다."
27,K8s,고가용성,Pod Anti-Affinity를 이용한 중복 배치 방지,"동일한 서비스의 Pod들이 같은 노드에 배치되지 않도록 강제하여, 특정 노드 장애 시 전체 인스턴스가 한꺼번에 손실되는 것을 방지한다."
28,K8s,워크로드,StatefulSet과 고유 ID 유지,"데이터베이스와 같이 상태 저장이 필요한 앱을 위해 Pod마다 고유한 서열 아이디(0, 1, 2...)와 영구적인 네트워크 이름을 부여한다."
29,K8s,워크로드,DaemonSet의 활용 사례,"로그 수집기(Fluentd)나 모니터링 에이전트처럼 클러스터 내의 모든 노드에 반드시 하나씩 실행되어야 하는 Pod를 관리할 때 사용한다."
30,K8s,설정관리,ConfigMap과 Secret의 데이터 주입 방식,"환경 변수나 볼륨 마운트 방식으로 애플리케이션에 설정을 전달하며, Secret은 base64로 인코딩되어 보안이 필요한 정보(비밀번호 등)를 담는다."
31,K8s,설정관리,Secret 데이터의 보안 한계와 보완,"K8s Secret은 단순 인코딩일 뿐이므로, 실제 보안을 위해서는 외부 KMS(Key Management Service) 연동이나 Vault를 통한 인젝션을 권장한다."
32,K8s,리소스관리,LimitRange를 통한 기본값 강제,"사용자가 리소스 요청량을 명시하지 않았을 때 적용될 기본 requests/limits 값을 네임스페이스 단위로 강제 설정한다."
33,K8s,네트워크,Headless Service와 직접 통신,"ClusterIP를 None으로 설정하면 로드 밸런싱 없이 해당 서비스에 속한 Pod들의 IP 리스트를 DNS 응답으로 직접 반환하며, StatefulSet과 자주 결합한다."
34,K8s,트러블슈팅,ImagePullBackOff 해결 가이드,"이미지 이름 오타, Private 레지스트리 인증 정보(imagePullSecrets) 누락, 혹은 네트워크 단절 여부를 확인해야 한다."
35,Docker,운영,컨테이너 좀비 프로세스 발생 원인,"컨테이너의 1번 프로세스(PID 1)가 자식 프로세스의 종료 상태를 수거하지 못할 때 발생하며, 이를 위해 dumb-init 같은 도구를 사용하기도 한다."
36,K8s,API,Sidecar 패턴의 정의와 구현,"메인 컨테이너의 기능을 보조하기 위해 로그 수집, 프록시, 데이터 동기화 등을 수행하는 보조 컨테이너를 같은 Pod 내에 배치하는 방식이다."
